model_name,accuracy,balanced_accuracy,recall,f1,roc
ada_boost,0.6352705410821643,0.6,0.6352705410821643,0.5148506424033087,0.8132786890214834
bagging,0.9719438877755511,0.9440379818388311,0.9719438877755511,0.9717407023088265,0.9970001468655421
extra_trees,0.9719438877755511,0.957140264171883,0.9719438877755511,0.9719293858194413,0.9989932371938222
grad_boost,0.9679358717434869,0.9416275560211378,0.9679358717434869,0.9678844625546698,0.9991901098627438
rf,0.9739478957915831,0.9452214137914939,0.9739478957915831,0.9738981411098058,0.9970597916381952
