model_name,accuracy,balanced_accuracy,recall,f1,roc
ada_boost,0.44597249508840864,0.4382595087432809,0.44597249508840864,0.5097646979977428,0.6910764162746833
bagging,0.8565815324165029,0.7590659091424554,0.8565815324165029,0.8545314798193299,0.9084642438569802
extra_trees,0.8664047151277013,0.7774835000340206,0.8664047151277013,0.8641411761106316,0.884925313921949
grad_boost,0.8703339882121808,0.772651448141344,0.8703339882121808,0.8662305990629051,0.8929956205200511
rf,0.8605108055009824,0.7761759769567487,0.8605108055009824,0.8593517503722057,0.910211525713696
